id,label,cLabelIdx,cCntryCode,cLCControlNumber,UpName
522,Musica Jazz,MUSICA JAZZ,It,,MUSICA JAZZ
523,Time Is,TIME IS,,,TIME IS
524,Ubatuqui,UBATUQUI,Spain,,UBATUQUI
525,MCG Jazz,MCG JAZZ,,,MCG JAZZ
526,Classic World,CLASSIC WORLD,,,CLASSIC WORLD
527,Malaco Jazz Classics,MALACO JAZZ CLASSICS,,,MALACO JAZZ CLASSICS
528,Ekapa/Black Hawk,EKAPA/BLACK HAWK,,,EKAPA/BLACK HAWK
529,After 9,AFTER 9,,,AFTER 9
530,Booktrader,BOOKTRADER,,,BOOKTRADER
531,MasterMix,MASTERMIX,,,MASTERMIX
532,3 much fun,3 MUCH FUN,,,3 MUCH FUN
533,Think Musart,THINK MUSART,,,THINK MUSART
534,Red Cow,RED COW,,,RED COW
535,Mercy Monet,MERCY MONET,,,MERCY MONET
536,Good Guise,GOOD GUISE,,,GOOD GUISE
537,Linn,LINN,,,LINN
538,Spartacus,SPARTACUS,,,SPARTACUS
539,J For Jazz,J FOR JAZZ,,,J FOR JAZZ
540,Radiola,RADIOLA,,,RADIOLA
541,Jazz Unlimited,JAZZ UNLIMITED,,,JAZZ UNLIMITED
542,Bombasi,BOMBASI,,,BOMBASI
543,Chase Music Group,CHASE MUSIC GROUP,,,CHASE MUSIC GROUP
544,Blue Jackel,BLUE JACKEL,,,BLUE JACKEL
545,Lightyear,LIGHTYEAR,,,LIGHTYEAR
546,Zebra,ZEBRA,,,ZEBRA
547,Paddle Wheel,PADDLE WHEEL,Ja,,PADDLE WHEEL
548,Blow It Hard,BLOW IT HARD,,,BLOW IT HARD
549,In + Out,IN + OUT,,,IN + OUT
550,Messidor,MESSIDOR,,,MESSIDOR
551,Sharp Nine,SHARP NINE,,,SHARP NINE
552,Spotlite,SPOTLITE,,,SPOTLITE
553,Honey Dew,HONEY DEW,,,HONEY DEW
554,Blue Moon,BLUE MOON,,,BLUE MOON
555,Jazz Factory,JAZZ FACTORY,,,JAZZ FACTORY
556,Queen-Disc,QUEEN-DISC,,,QUEEN-DISC
557,Cool 'n Blue,COOL N BLUE,,,COOL 'N BLUE
558,Marshmallow,MARSHMALLOW,,,MARSHMALLOW
559,Stateside,STATESIDE,,,STATESIDE
560,Cicala,CICALA,,,CICALA
561,Proper,PROPER,,,PROPER
562,Nel Jazz,NEL JAZZ,,,NEL JAZZ
563,Pioneer,PIONEER,,,PIONEER
564,NDR,NDR,,,NDR
565,Balmore,BALMORE,,,BALMORE
566,Starmaker,STARMAKER,,,STARMAKER
567,Mark,MARK,,,MARK
568,The Hatchery,HATCHERY,,,THE HATCHERY
569,Horo,HORO,,,HORO
570,dmp,DMP,,,DMP
571,Minor Music,MINOR MUSIC,,,MINOR MUSIC
572,Auteuri,AUTEURI,,,AUTEURI
573,Island,ISLAND,,,ISLAND
574,Island/Mango,ISLAND/MANGO,,,ISLAND/MANGO
575,Universal Latino,UNIVERSAL LATINO,,,UNIVERSAL LATINO
576,Connector,CONNECTOR,,,CONNECTOR
577,NOM,NOM,,,NOM
578,Alacra,ALACRA,,,ALACRA
579,BASF,BASF,,,BASF
580,ATM,ATM,,,ATM
581,Suzy,SUZY,,,SUZY
582,Magnetic Music,MAGNETIC MUSIC,,,MAGNETIC MUSIC
583,Era,ERA,,,ERA
584,Freeway,FREEWAY,,,FREEWAY
585,Camarata Tokyo-Insights,CAMARATA TOKYO-INSIGHTS,Ja,,CAMARATA TOKYO-INSIGHTS
586,Ephemeris,EPHEMERIS,,,EPHEMERIS
587,Wounded Bird,WOUNDED BIRD,,,WOUNDED BIRD
588,Act Zero,ACT ZERO,,,ACT ZERO
589,ACT,ACT,,,ACT
590,Labor,LABOR,,,LABOR
591,Vortex,VORTEX,,,VORTEX
592,Etoile,ETOILE,,,ETOILE
593,Famous Solos,FAMOUS SOLOS,,,FAMOUS SOLOS
594,Big Bear,BIG BEAR,,,BIG BEAR
595,Empathy,EMPATHY,,,EMPATHY
596,Insights,INSIGHTS,,,INSIGHTS
597,Century,CENTURY,,,CENTURY
598,Ego,EGO,,,EGO
599,Four Leaf Clover,FOUR LEAF CLOVER,,,FOUR LEAF CLOVER
600,Swe-Disc,SWE-DISC,,,SWE-DISC
601,Owl,OWL,,,OWL
602,Pimienta,PIMIENTA,,,PIMIENTA
603,Euphoria,EUPHORIA,,,EUPHORIA
604,Shanachie,SHANACHIE,,,SHANACHIE
605,Artists House,ARTISTS HOUSE,,,ARTISTS HOUSE
606,B & W,B & W,,,B & W
607,Aisha,AISHA,,,AISHA
608,Winter & Winter,WINTER & WINTER,,,WINTER & WINTER
609,441 Records,441 RECORDS,,,441 RECORDS
610,Drimala,DRIMALA,,,DRIMALA
611,FMO Productions,FMO PRODUCTIONS,,,FMO PRODUCTIONS
612,Bop City,BOP CITY,,,BOP CITY
613,Silveto,SILVETO,,,SILVETO
614,Trema,TREMA,F,,TREMA
615,Pixie,PIXIE,,,PIXIE
616,Alfa,ALFA,Ja,,ALFA
617,Crown-Break Time,CROWN-BREAK TIME,Ja,,CROWN-BREAK TIME
618,Sackville,SACKVILLE,Ca,,SACKVILLE
619,Hep,HEP,E,,HEP
620,Incus,INCUS,E,,INCUS
621,Joule,JOULE,,,JOULE
622,Video Arts Music,VIDEO ARTS MUSIC,Ja,,VIDEO ARTS MUSIC
623,Playgame,PLAYGAME,,,PLAYGAME
624,TBR,TBR,,,TBR
625,Nagel-Heyer,NAGEL-HEYER,G,,NAGEL-HEYER
626,M.A.S. Productions,MAS PRODUCTIONS,,,M.A.S. PRODUCTIONS
627,Umoja Productions,UMOJA PRODUCTIONS,,,UMOJA PRODUCTIONS
628,Recall,RECALL,,,RECALL
629,Lionelle Hamanaka,LIONELLE HAMANAKA,,,LIONELLE HAMANAKA
630,RH Factor,RH FACTOR,,,RH FACTOR
631,Classics,CLASSICS,,,CLASSICS
632,Black & White,BLACK & WHITE,,,BLACK & WHITE
633,AFRS Jubilee,AFRS JUBILEE,,,AFRS JUBILEE
634,Casablanca,CASABLANCA,,,CASABLANCA
635,Rykodisc,RYKODISC,,,RYKODISC
636,Touchstone,TOUCHSTONE,,,TOUCHSTONE
637,Delos,DELOS,,,DELOS
638,MAMA,MAMA,,,MAMA
639,Diaspora,DIASPORA,,,DIASPORA
640,MotÇma,MOTêMA,,,MOTêMA
641,Seven Venues,SEVEN VENUES,,,SEVEN VENUES
642,Yamin Music,YAMIN MUSIC,,,YAMIN MUSIC
643,Defemio Records,DEFEMIO RECORDS,,,DEFEMIO RECORDS
644,Planet Arts,PLANET ARTS,,,PLANET ARTS
645,HÑnssler Classic,HéNSSLER CLASSIC,G,,HéNSSLER CLASSIC
646,L.C.U. [Lost Cosmic Unity],LCU LOST COSMIC UNITY,,,L.C.U. [LOST COSMIC UNITY]
647,Mercer,MERCER,,,MERCER
648,Sea Breeze,SEA BREEZE,,,SEA BREEZE
649,Shiah,SHIAH,,,SHIAH
650,Waja,WAJA,,,WAJA
651,Mopro,MOPRO,,,MOPRO
652,Cobine Inc.,COBINE INC,,,COBINE INC.
653,Endgame,ENDGAME,,,ENDGAME
654,Wing,WING,,,WING
655,Jazz Realities,JAZZ REALITIES,G,,JAZZ REALITIES
656,Mod,MOD,G,,MOD
657,Jazzline,JAZZLINE,G,,JAZZLINE
658,Overseas,OVERSEAS,J,,OVERSEAS
659,San Francisco Jazz,SAN FRANCISCO JAZZ,,,SAN FRANCISCO JAZZ
660,Cinema City,CINEMA CITY,J,,CINEMA CITY
661,Hipnotation,HIPNOTATION,Au,,HIPNOTATION
662,All Art,ALL ART,Ja,,ALL ART
663,Sterling Bell,STERLING BELL,,,STERLING BELL
664,Highland Jazz,HIGHLAND JAZZ,,,HIGHLAND JAZZ
665,LineOut,LINEOUT,,,LINEOUT
666,Ictus,ICTUS,,,ICTUS
667,MM&R,MM&R,,,MM&R
668,Seaside,SEASIDE,,,SEASIDE
669,Dental,DENTAL,,,DENTAL
670,Brownstone,BROWNSTONE,,,BROWNSTONE
671,Dreambox Media,DREAMBOX MEDIA,,,DREAMBOX MEDIA
672,Jardis,JARDIS,,,JARDIS
673,Summit,SUMMIT,,,SUMMIT
674,Cotillion,COTILLION,,,COTILLION
675,Daring,DARING,,,DARING
676,Civil Defense,CIVIL DEFENSE,,,CIVIL DEFENSE
677,Blujazz,BLUJAZZ,,,BLUJAZZ
678,Atco,ATCO,,,ATCO
679,Embryo,EMBRYO,,,EMBRYO
680,Harmona,HARMONA,As,,HARMONA
681,Presto,PRESTO,,,PRESTO
682,Time/Life,TIME/LIFE,,,TIME/LIFE
683,Bhakti,BHAKTI,G,,BHAKTI
684,DSC,DSC,G,,DSC
685,Toshiba/Express,TOSHIBA/EXPRESS,Ja,,TOSHIBA/EXPRESS
686,L + R,L + R,G,,L + R
687,Acoustic Music,ACOUSTIC MUSIC,G,,ACOUSTIC MUSIC
688,Network,NETWORK,G,,NETWORK
689,Anagram,ANAGRAM,,,ANAGRAM
690,Center,CENTER,G,,CENTER
691,Rayna,RAYNA,G,,RAYNA
692,Selected Sound,SELECTED SOUND,G,,SELECTED SOUND
693,Tin Sandwich,TIN SANDWICH,,,TIN SANDWICH
694,Brass Taco,BRASS TACO,,,BRASS TACO
695,Berklee,BERKLEE,,,BERKLEE
696,Cia Industrial De Discos,CIA INDUSTRIAL DE DISCOS,,,CIA INDUSTRIAL DE DISCOS
697,BoMuse Transcriptions,BOMUSE TRANSCRIPTIONS,,,BOMUSE TRANSCRIPTIONS
698,Suzanne Davis,SUZANNE DAVIS,,,SUZANNE DAVIS
699,Publick Ptomaine,PUBLICK PTOMAINE,,,PUBLICK PTOMAINE
700,Pannon Jazz,PANNON JAZZ,Hu,,PANNON JAZZ
701,Double Moon,DOUBLE MOON,G,,DOUBLE MOON
702,PlÑne,PLéNE,G,,PLéNE
703,Pannonton,PANNONTON,H,,PANNONTON
704,EMI-Electrola,EMI-ELECTROLA,G,,EMI-ELECTROLA
705,Black Jack,BLACK JACK,G,,BLACK JACK
706,Focus,FOCUS,,,FOCUS
707,Now,NOW,,,NOW
708,Studio P/R,STUDIO P/R,,,STUDIO P/R
709,Cadence Jazz,CADENCE JAZZ,,,CADENCE JAZZ
710,Stork Music Productions,STORK MUSIC PRODUCTIONS,,,STORK MUSIC PRODUCTIONS
711,Fontana,FONTANA,,,FONTANA
712,Arista/Freedom,ARISTA/FREEDOM,,,ARISTA/FREEDOM
713,Durian,DURIAN,,,DURIAN
714,Old Town,OLD TOWN,,,OLD TOWN
715,Jazztone,JAZZTONE,,,JAZZTONE
716,Jazz Band,JAZZ BAND,,,JAZZ BAND
717,Triumph,TRIUMPH,,,TRIUMPH
718,RST,RST,Austr,,RST
719,Raretone,RARETONE,It,,RARETONE
720,Consolidated Artists Productions,CONSOLIDATED ARTISTS PRODUCTIONS,,,CONSOLIDATED ARTISTS PRODUCTIONS
721,Status,STATUS,,,STATUS
722,Fresh Air,FRESH AIR,,,FRESH AIR
723,Associated,ASSOCIATED,,,ASSOCIATED
724,Continental,CONTINENTAL,,,CONTINENTAL
725,Haven,HAVEN,,,HAVEN
726,Renma,RENMA,,,RENMA
727,Foxhaven,FOXHAVEN,,,FOXHAVEN
728,Judson,JUDSON,,,JUDSON
729,Freedom Jazz Records,FREEDOM JAZZ RECORDS,,,FREEDOM JAZZ RECORDS
730,Session Disc,SESSION DISC,,,SESSION DISC
731,Norgran,NORGRAN,,,NORGRAN
732,Jazz Groove,JAZZ GROOVE,,,JAZZ GROOVE
733,Savoy/Atlantic,SAVOY/ATLANTIC,,,SAVOY/ATLANTIC
734,Mary Records,MARY RECORDS,,,MARY RECORDS
735,Mythic Sound,MYTHIC SOUND,It,,MYTHIC SOUND
736,Serene,SERENE,Fr,,SERENE
737,Watt,WATT,,,WATT
738,Passin' Thru,PASSIN THRU,,,PASSIN' THRU
739,Original Blues Classics,ORIGINAL BLUES CLASSICS,,,ORIGINAL BLUES CLASSICS
740,Prestige/Bluesville,PRESTIGE/BLUESVILLE,,,PRESTIGE/BLUESVILLE
741,Music Minus One,MUSIC MINUS ONE,,,MUSIC MINUS ONE
742,Strata-East,STRATA-EAST,,,STRATA-EAST
743,Frontier,FRONTIER,,,FRONTIER
744,Rondo,RONDO,,,RONDO
745,Atlas,ATLAS,,,ATLAS
746,Document,DOCUMENT,,,DOCUMENT
747,Fini Jazz,FINI JAZZ,,,FINI JAZZ
748,HatOLOGY,HATOLOGY,,,HATOLOGY
749,Unique Jazz,UNIQUE JAZZ,,,UNIQUE JAZZ
750,Folkways,FOLKWAYS,,,FOLKWAYS
751,Choice,CHOICE,,,CHOICE
752,2 13 61,2 13 61,,,2 13 61
753,51 West,51 WEST,,,51 WEST
754,52e Rue Est,52E RUE EST,,,52E RUE EST
755,AA Records,AA RECORDS,,,AA RECORDS
756,Accurate,ACCURATE,,,ACCURATE
757,Acta,ACTA,,,ACTA
758,Affinity,AFFINITY,,,AFFINITY
759,Aladdin,ALADDIN,,,ALADDIN
760,Aleph,ALEPH,,,ALEPH
761,Alice Musik Produktion,ALICE MUSIK PRODUKTION,,,ALICE MUSIK PRODUKTION
762,All Life,ALL LIFE,,,ALL LIFE
763,Alto,ALTO,,,ALTO
764,America,AMERICA,,,AMERICA
765,Andex,ANDEX,,,ANDEX
766,Apollo,APOLLO,,,APOLLO
767,Arc,ARC,,,ARC
768,Arista/Novus,ARISTA/NOVUS,,,ARISTA/NOVUS
769,ASC,ASC,,,ASC
770,Asian Improv,ASIAN IMPROV,,,ASIAN IMPROV
771,Audio Lab,AUDIO LAB,,,AUDIO LAB
772,AUM Fidelity,AUM FIDELITY,,,AUM FIDELITY
773,Ava,AVA,,,AVA
774,Avant,AVANT,,,AVANT
775,Bassic-Sound,BASSIC-SOUND,,,BASSIC-SOUND
776,Battle,BATTLE,,,BATTLE
777,Bead,BEAD,,,BEAD
778,Between The Lines,BETWEEN THE LINES,,,BETWEEN THE LINES
779,Black Jazz,BLACK JAZZ,,,BLACK JAZZ
780,Bleu Regard,BLEU REGARD,,,BLEU REGARD
781,Bloomdido,BLOOMDIDO,,,BLOOMDIDO
782,Blue Tower,BLUE TOWER,,,BLUE TOWER
783,Bosco,BOSCO,,,BOSCO
784,BOXmedia,BOXMEDIA,,,BOXMEDIA
785,Bruce's Fingers,BRUCES FINGERS,,,BRUCE'S FINGERS
786,CAICAI,CAICAI,,,CAICAI
787,Calig,CALIG,,,CALIG
788,Cameo,CAMEO,,,CAMEO
789,Carmo,CARMO,,,CARMO
790,Catalyst,CATALYST,,,CATALYST
791,CELP,CELP,,,CELP
792,Center Of The World,CENTER OF THE WORLD,,,CENTER OF THE WORLD
793,Challenge,CHALLENGE,,,CHALLENGE
794,Charter,CHARTER,,,CHARTER
795,Chronoscope,CHRONOSCOPE,,,CHRONOSCOPE
796,Circulasione Totale,CIRCULASIONE TOTALE,,,CIRCULASIONE TOTALE
797,Clean Cuts,CLEAN CUTS,,,CLEAN CUTS
798,Club 51,CLUB 51,,,CLUB 51
799,Concepts Of Doing,CONCEPTS OF DOING,,,CONCEPTS OF DOING
800,Confront,CONFRONT,,,CONFRONT
801,Contact,CONTACT,,,CONTACT
802,Cuneiform,CUNEIFORM,,,CUNEIFORM
803,DDQ,DDQ,,,DDQ
804,Dig,DIG,,,DIG
805,Disco Mate,DISCO MATE,,,DISCO MATE
806,Discus,DISCUS,,,DISCUS
807,Discwasher,DISCWASHER,,,DISCWASHER
808,East-West,EAST-WEST,,,EAST-WEST
809,Editions Nova/Musica Secreta,EDITIONS NOVA/MUSICA SECRETA,,,EDITIONS NOVA/MUSICA SECRETA
810,Empire,EMPIRE,,,EMPIRE
811,Enrica,ENRICA,,,ENRICA
812,Entropy Stereo,ENTROPY STEREO,,,ENTROPY STEREO
813,EPM,EPM,,,EPM
814,Fish Music,FISH MUSIC,,,FISH MUSIC
815,Fluid,FLUID,,,FLUID
816,Flyright,FLYRIGHT,,,FLYRIGHT
817,FMP,FMP,,,FMP
818,For 4 Ears,FOR 4 EARS,,,FOR 4 EARS
819,Free Bird,FREE BIRD,,,FREE BIRD
820,Fringes,FRINGES,,,FRINGES
821,Futura,FUTURA,,,FUTURA
822,Future Music Records,FUTURE MUSIC RECORDS,,,FUTURE MUSIC RECORDS
823,GeestGronden,GEESTGRONDEN,,,GEESTGRONDEN
824,Goody,GOODY,,,GOODY
825,Greenestreet,GREENESTREET,,,GREENESTREET
826,HiFi,HIFI,,,HIFI
827,High Note,HIGH NOTE,,,HIGH NOTE
828,Hot Club,HOT CLUB,,,HOT CLUB
829,Hybrid Music Productions,HYBRID MUSIC PRODUCTIONS,,,HYBRID MUSIC PRODUCTIONS
830,Hy-Tone,HY-TONE,,,HY-TONE
831,ICP,ICP,,,ICP
832,IDA,IDA,,,IDA
833,Imperial,IMPERIAL,,,IMPERIAL
834,In Situ,IN SITU,,,IN SITU
835,Intakt,INTAKT,,,INTAKT
836,Intro,INTRO,,,INTRO
837,Japo,JAPO,,,JAPO
838,Jaro,JARO,,,JARO
839,Jazzcraft,JAZZCRAFT,,,JAZZCRAFT
840,JazzHausMusik,JAZZHAUSMUSIK,,,JAZZHAUSMUSIK
841,Jazz: West,JAZZ: WEST,,,JAZZ: WEST
842,JHM,JHM,,,JHM
843,JMY,JMY,,,JMY
844,Josie,JOSIE,,,JOSIE
845,Kudu,KUDU,,,KUDU
846,Label Bleu,LABEL BLEU,,,LABEL BLEU
847,La Collecio Del Taller,LA COLLECIO DEL TALLER,,,LA COLLECIO DEL TALLER
848,Laurie,LAURIE,,,LAURIE
849,Le Jazz,LE JAZZ,,,LE JAZZ
850,Leo,LEO,,,LEO
851,Level Green,LEVEL GREEN,,,LEVEL GREEN
852,Limited Sedition,LIMITED SEDITION,,,LIMITED SEDITION
853,Lion,LION,,,LION
854,Marge,MARGE,,,MARGE
855,Mash,MASH,,,MASH
856,Masters Of Jazz,MASTERS OF JAZZ,,,MASTERS OF JAZZ
857,Matchless,MATCHLESS,,,MATCHLESS
858,Maya,MAYA,,,MAYA
859,Meantime,MEANTIME,,,MEANTIME
860,Meniscus,MENISCUS,,,MENISCUS
861,Metronome/CTI,METRONOME/CTI,,,METRONOME/CTI
862,Miracle,MIRACLE,,,MIRACLE
863,Mode,MODE,,,MODE
864,Modern,MODERN,,,MODERN
865,Mole,MOLE,,,MOLE
866,Monkey,MONKEY,,,MONKEY
867,Music And Arts,MUSIC AND ARTS,,,MUSIC AND ARTS
868,Mustevic,MUSTEVIC,,,MUSTEVIC
869,Mycophile,MYCOPHILE,,,MYCOPHILE
870,Nato,NATO,,,NATO
871,Nemperor,NEMPEROR,,,NEMPEROR
872,Nessa,NESSA,,,NESSA
873,New Artists,NEW ARTISTS,,,NEW ARTISTS
874,Nine Winds,NINE WINDS,,,NINE WINDS
875,Ninth World Music,NINTH WORLD MUSIC,,,NINTH WORLD MUSIC
876,Nippon Columbia,NIPPON COLUMBIA,,,NIPPON COLUMBIA
877,No More,NO MORE,,,NO MORE
878,Nowjazz/Ramwong,NOWJAZZ/RAMWONG,,,NOWJAZZ/RAMWONG
879,Nuscope,NUSCOPE,,,NUSCOPE
880,Ogun,OGUN,,,OGUN
881,OkkaDisk,OKKADISK,,,OKKADISK
882,Old Swing-Master,OLD SWING-MASTER,,,OLD SWING-MASTER
883,Omni Sonic,OMNI SONIC,,,OMNI SONIC
884,Organ Of Corti,ORGAN OF CORTI,,,ORGAN OF CORTI
885,Parrot,PARROT,,,PARROT
886,Peacock,PEACOCK,,,PEACOCK
887,Philly Jazz,PHILLY JAZZ,,,PHILLY JAZZ
888,Plag Dich Nicht,PLAG DICH NICHT,,,PLAG DICH NICHT
889,Plainisphare,PLAINISPHARE,,,PLAINISPHARE
890,Postcards,POSTCARDS,,,POSTCARDS
891,Potlatch,POTLATCH,,,POTLATCH
892,Po Torch,PO TORCH,,,PO TORCH
893,Quinnah,QUINNAH,,,QUINNAH
894,Rama,RAMA,,,RAMA
895,Random Acoustics,RANDOM ACOUSTICS,,,RANDOM ACOUSTICS
896,Rare Music,RARE MUSIC,,,RARE MUSIC
897,Rastascan,RASTASCAN,,,RASTASCAN
898,Rectangle,RECTANGLE,,,RECTANGLE
899,Repertoire,REPERTOIRE,,,REPERTOIRE
900,Revelation,REVELATION,,,REVELATION
901,Rhumboogie,RHUMBOOGIE,,,RHUMBOOGIE
902,SAJ,SAJ,,,SAJ
903,Salvation,SALVATION,,,SALVATION
904,Scatter,SCATTER,,,SCATTER
905,Scepter,SCEPTER,,,SCEPTER
906,Score,SCORE,,,SCORE
907,Screwgun,SCREWGUN,,,SCREWGUN
908,Shandar,SHANDAR,,,SHANDAR
909,Shock,SHOCK,,,SHOCK
910,Silkheart,SILKHEART,,,SILKHEART
911,Skye,SKYE,,,SKYE
912,SLAM,SLAM,,,SLAM
913,Songlines,SONGLINES,,,SONGLINES
914,Sonore,SONORE,,,SONORE
915,Sound Aspects,SOUND ASPECTS,,,SOUND ASPECTS
916,Specialty,SPECIALTY,,,SPECIALTY
917,Stereo [Contemporary],STEREO CONTEMPORARY,,,STEREO [CONTEMPORARY]
918,Stretch,STRETCH,,,STRETCH
919,Sublingual,SUBLINGUAL,,,SUBLINGUAL
920,Sue,SUE,,,SUE
921,Sun,SUN,,,SUN
922,Sunbeam,SUNBEAM,,,SUNBEAM
923,Sunset,SUNSET,,,SUNSET
924,Survival,SURVIVAL,,,SURVIVAL
925,Tact,TACT,,,TACT
926,Tampa,TAMPA,,,TAMPA
927,Tautology,TAUTOLOGY,,,TAUTOLOGY
928,Theron,THERON,,,THERON
929,Top Rank,TOP RANK,,,TOP RANK
930,Tru-Sound,TRU-SOUND,,,TRU-SOUND
931,Tutu,TUTU,,,TUTU
932,Uhlklang,UHLKLANG,,,UHLKLANG
933,Atavistic,ATAVISTIC,,,ATAVISTIC
934,Unit,UNIT,,,UNIT
935,Vand'Ouevre,VANDOUEVRE,,,VAND'OUEVRE
936,VGM,VGM,,,VGM
937,Victo,VICTO,,,VICTO
938,Vitacoustic,VITACOUSTIC,,,VITACOUSTIC
939,VSOP,VSOP,,,VSOP
940,Warwick,WARWICK,,,WARWICK
941,Waterland,WATERLAND,,,WATERLAND
942,WIM,WIM,,,WIM
943,Wobbly Rail,WOBBLY RAIL,,,WOBBLY RAIL
944,Workshop Jazz,WORKSHOP JAZZ,,,WORKSHOP JAZZ
945,Breadloaf Music,BREADLOAF MUSIC,,,BREADLOAF MUSIC
946,LoneHill Jazz,LONEHILL JAZZ,,,LONEHILL JAZZ
947,CAAMO,CAAMO,,,CAAMO
948,Ki-Ki,KI-KI,,,KI-KI
949,Stork,STORK,,,STORK
950,Image Entertainment,IMAGE ENTERTAINMENT,,,IMAGE ENTERTAINMENT
951,Leafage Jazz Pony Canyon,LEAFAGE JAZZ PONY CANYON,J,,LEAFAGE JAZZ PONY CANYON
952,Melodisc,MELODISC,E,,MELODISC
953,Columbia/Lansdowne,COLUMBIA/LANSDOWNE,E,,COLUMBIA/LANSDOWNE
954,Downtown Sound,DOWNTOWN SOUND,,,DOWNTOWN SOUND
955,Doria,DORIA,,,DORIA
956,New World,NEW WORLD,,,NEW WORLD
957,Jazz City,JAZZ CITY,Ja,,JAZZ CITY
958,Devil Moon,DEVIL MOON,,,DEVIL MOON
959,Sutra,SUTRA,,,SUTRA
960,Xtra Watt,XTRA WATT,,,XTRA WATT
961,Crippled Dick Hot Wax,CRIPPLED DICK HOT WAX,G,,CRIPPLED DICK HOT WAX
962,ArtistShare,ARTISTSHARE,,,ARTISTSHARE
963,1750 Arch,1750 ARCH,,,1750 ARCH
964,20th Century Fox,20TH CENTURY FOX,,,20TH CENTURY FOX
965,360,360,,,360
966,Access,ACCESS,,,ACCESS
967,Ace Of Clubs,ACE OF CLUBS,,,ACE OF CLUBS
968,American Clave,AMERICAN CLAVE,,,AMERICAN CLAVE
969,Americatone,AMERICATONE,,,AMERICATONE
970,Amherst,AMHERST,,,AMHERST
971,Amigo,AMIGO,Swe,,AMIGO
972,Ampex,AMPEX,,,AMPEX
973,Amulet,AMULET,,,AMULET
974,Andrew's Music,ANDREWS MUSIC,,,ANDREW'S MUSIC
975,Apple,APPLE,,,APPLE
976,Ascent,ASCENT,,,ASCENT
977,Astor Place,ASTOR PLACE,,,ASTOR PLACE
978,Atmosphere,ATMOSPHERE,,,ATMOSPHERE
979,Bet-Car Productions,BET-CAR PRODUCTIONS,,,BET-CAR PRODUCTIONS
980,Biograph,BIOGRAPH,,,BIOGRAPH
981,Black & Blue,BLACK & BLUE,,,BLACK & BLUE
982,Blast First,BLAST FIRST,,,BLAST FIRST
983,Blue Heron,BLUE HERON,,,BLUE HERON
984,Blue Star,BLUE STAR,,,BLUE STAR
985,Bluejay,BLUEJAY,,,BLUEJAY
986,Bluesway,BLUESWAY,,,BLUESWAY
987,Cadillac,CADILLAC,,,CADILLAC
988,Caprice,CAPRICE,,,CAPRICE
989,Caravan Of Dreams,CARAVAN OF DREAMS,,,CARAVAN OF DREAMS
990,Charisma,CHARISMA,,,CHARISMA
991,Chazzer,CHAZZER,,,CHAZZER
992,Chrysalis,CHRYSALIS,,,CHRYSALIS
993,Clef,CLEF,,,CLEF
994,Cleo,CLEO,,,CLEO
995,CMP,CMP,,,CMP
996,Compose,COMPOSE,,,COMPOSE
997,Continuum,CONTINUUM,,,CONTINUUM
998,Coppens,COPPENS,,,COPPENS
999,Creative World,CREATIVE WORLD,,,CREATIVE WORLD
1000,Daybreak,DAYBREAK,,,DAYBREAK
1001,Deram,DERAM,,,DERAM
1002,Dharma,DHARMA,,,DHARMA
1003,Disconforme,DISCONFORME,,,DISCONFORME
1004,Diva,DIVA,,,DIVA
1005,Doctor Jazz,DOCTOR JAZZ,,,DOCTOR JAZZ
1006,Dooto,DOOTO,,,DOOTO
1007,Dreams,DREAMS,,,DREAMS
1008,Dreamstreet,DREAMSTREET,,,DREAMSTREET
1009,Early Bird,EARLY BIRD,,,EARLY BIRD
1010,Avant Garde,AVANT GARDE,,,AVANT GARDE
1011,IPO,IPO,,,IPO
1012,Daagnim,DAAGNIM,,,DAAGNIM
1013,"\X\""""",X,,,"\X\"""""
1014,Water,WATER,,,WATER
1015,Empathy,EMPATHY,Jap,,EMPATHY
1016,Inmus,INMUS,,,INMUS
1017,GRP/Decca,GRP/DECCA,,,GRP/DECCA
1018,Seta,SETA,,,SETA
1019,Whatdisc,WHATDISC,,,WHATDISC
1020,Saef,SAEF,,,SAEF
1021,Discophon,DISCOPHON,Sp,,DISCOPHON
1022,Concentric,CONCENTRIC,Sp,,CONCENTRIC
1023,Pam,PAM,,,PAM
1024,Cat,CAT,Ne,,CAT
1025,DiscMedi,DISCMEDI,Sp,,DISCMEDI
1026,Timeless/Muse,TIMELESS/MUSE,,,TIMELESS/MUSE
1027,Red Bird,RED BIRD,,,RED BIRD
1028,Ensayo,ENSAYO,Sp,,ENSAYO
1029,Saba,SABA,,,SABA
1030,Justine,JUSTINE,Sp,,JUSTINE
1031,Melopea,MELOPEA,Arg.,,MELOPEA
1032,Zeleste-Edigsa,ZELESTE-EDIGSA,Sp,,ZELESTE-EDIGSA
1033,Nuevos Medios,NUEVOS MEDIOS,Sp,,NUEVOS MEDIOS
1034,Mas i Mas,MAS I MAS,Sp,,MAS I MAS
1035,Edigsa,EDIGSA,Sp,,EDIGSA
1036,Hot House,HOT HOUSE,Ne,,HOT HOUSE
1037,Zafiro,ZAFIRO,Sp,,ZAFIRO
1038,PDI,PDI,,,PDI
1039,Helix,HELIX,,,HELIX
1040,RTVE M£sica,RTVE M?SICA,Sp,,RTVE M?SICA
1041,Jazzizz,JAZZIZZ,,,JAZZIZZ
1042,MCA/Chess,MCA/CHESS,,,MCA/CHESS
