id,label,cLabelIdx,cCntryCode,cLCControlNumber,UpName
122,Muse,MUSE,,,MUSE
123,Private issue,PRIVATE ISSUE,,,PRIVATE ISSUE
124,Kisi hf,KISI HF,,,KISI HF
125,Spor,SPOR,,,SPOR
126,Koch Jazz,KOCH JAZZ,,,KOCH JAZZ
127,EMI Latin,EMI LATIN,,,EMI LATIN
128,JVC,JVC,,,JVC
129,Metro Blue,METRO BLUE,,,METRO BLUE
130,Sony Classical,SONY CLASSICAL,,,SONY CLASSICAL
131,The Entertainers,ENTERTAINERS,,,THE ENTERTAINERS
132,Viper's Nest,VIPERS NEST,,,VIPER'S NEST
133,Brunswick,BRUNSWICK,,,BRUNSWICK
134,Victor,VICTOR,,,VICTOR
135,Mammoth,MAMMOTH,,,MAMMOTH
136,Nonesuch,NONESUCH,,,NONESUCH
137,Blue Thumb,BLUE THUMB,,,BLUE THUMB
138,Epic Legacy,EPIC LEGACY,,,EPIC LEGACY
139,Dinemec Jazz,DINEMEC JAZZ,,,DINEMEC JAZZ
140,Bear Family Records,BEAR FAMILY RECORDS,,,BEAR FAMILY RECORDS
141,Jazz Classics,JAZZ CLASSICS,,,JAZZ CLASSICS
142,Varese Sarabande,VARESE SARABANDE,,,VARESE SARABANDE
143,Pinnacle,PINNACLE,,,PINNACLE
144,Taragon,TARAGON,,,TARAGON
145,Razor & Tie,RAZOR & TIE,,,RAZOR & TIE
146,Classic Jazz,CLASSIC JAZZ,,,CLASSIC JAZZ
147,Mayfair,MAYFAIR,,,MAYFAIR
148,ABC-Paramount,ABC-PARAMOUNT,,,ABC-PARAMOUNT
149,Stanyan,STANYAN,,,STANYAN
150,Crown,CROWN,#1,,CROWN
151,Inner City,INNER CITY,,,INNER CITY
152,Fanfare,FANFARE,,,FANFARE
153,Joyce Record Club,JOYCE RECORD CLUB,,,JOYCE RECORD CLUB
154,Blue Heaven Records,BLUE HEAVEN RECORDS,,,BLUE HEAVEN RECORDS
155,Progressive,PROGRESSIVE,,,PROGRESSIVE
156,Chesky,CHESKY,,,CHESKY
157,Jem,JEM,,,JEM
158,Columbia Special Products,COLUMBIA SPECIAL PRODUCTS,,,COLUMBIA SPECIAL PRODUCTS
159,Artistry,ARTISTRY,,,ARTISTRY
160,MMG,MMG,,,MMG
161,Longine Symphonette,LONGINE SYMPHONETTE,,,LONGINE SYMPHONETTE
162,Shoestring,SHOESTRING,,,SHOESTRING
163,Totem,TOTEM,,,TOTEM
164,G. A. Gramophone Co.,G A GRAMOPHONE CO,,,G. A. GRAMOPHONE CO.
165,Vocalion,VOCALION,,,VOCALION
166,Nesak,NESAK,,,NESAK
167,MGM,MGM,,,MGM
168,London,LONDON,,,LONDON
169,Milestone,MILESTONE,,,MILESTONE
170,Dunhill,DUNHILL,,,DUNHILL
171,Dragon,DRAGON,,,DRAGON
172,Okeh,OKEH,,,OKEH
173,Blue Chip Jazz,BLUE CHIP JAZZ,,,BLUE CHIP JAZZ
