id,artist_id,song_id
1,1,351
2,1,508
3,1,608
4,1,3535
5,1,3538
6,1,3546
7,1,9944
8,5,1129
9,5,1134
10,5,2084
11,5,1690
12,5,2954
13,5,2973
14,5,5659
15,5,7687
16,5,34000
17,6,1506
18,6,1508
19,6,3026
20,6,12707
21,6,18286
22,6,29360
23,11,1479
24,11,1628
25,11,1630
26,11,1632
27,11,31689
28,11,5946
29,11,6409
30,11,28791
31,11,17285
32,11,8987
33,11,9673
34,11,10229
35,11,10295
36,11,24741
37,11,24742
38,11,11341
39,11,11711
40,11,11723
41,11,12424
42,11,12447
43,11,12456
44,11,12539
45,11,12541
46,11,14728
47,11,14748
48,11,14827
49,11,18728
50,11,18730
51,11,18731
52,11,18732
53,11,18733
54,11,18734
55,11,18737
56,11,18738
57,11,18739
58,11,18741
59,11,18742
60,11,18743
61,11,19313
62,11,19926
63,11,19927
64,11,19928
65,11,20346
66,11,20347
67,11,18641
68,11,21192
69,11,21946
70,11,22938
71,11,23238
72,11,24708
73,11,24709
74,11,24743
75,11,24744
76,11,28962
77,11,29843
78,11,31068
79,11,32270
80,11,32271
81,11,34448
82,11,34449
83,11,34450
84,11,34451
85,11,34452
86,11,34548
87,11,34875
88,11,34876
89,11,34877
90,11,34878
91,11,34883
92,11,34884
93,11,34885
94,11,34965
95,12,6751
96,14,4514
97,16,3794
98,16,5344
99,16,6346
100,16,6349
101,16,6352
102,16,7160
103,16,19677
104,16,20135
105,16,21133
106,16,21729
107,17,831
108,17,864
109,17,870
110,17,874
111,17,884
112,17,887
113,17,889
114,17,890
115,17,892
116,17,898
117,17,899
118,17,2061
119,17,2071
120,17,2076
121,17,2080
122,17,2081
123,17,2089
124,17,2090
125,17,2093
126,17,2096
127,17,2099
128,17,2101
129,17,2112
130,17,2117
131,17,2120
132,17,2124
133,17,2126
134,17,2127
135,17,2137
136,17,2141
137,17,2143
138,17,2159
139,17,2176
140,17,2179
141,17,2185
142,17,2192
143,17,2194
144,17,2198
145,17,2201
146,17,2202
147,17,2208
148,17,2222
149,17,2255
150,17,5962
151,17,5967
152,17,6007
153,17,7997
154,17,9121
155,17,2116
156,17,26351
157,17,30394
158,19,1487
159,19,1488
160,19,1489
161,19,1491
162,19,1492
163,19,31694
164,19,4374
165,19,4375
166,19,4378
167,19,4379
168,19,4380
169,19,4524
170,19,4525
171,19,4526
172,19,4527
173,19,4528
174,19,4529
175,19,4530
176,19,4532
177,19,4533
178,19,4535
179,19,4537
180,19,4538
181,19,5567
182,19,5568
183,19,5569
184,19,5570
185,19,5571
186,19,5572
187,19,5573
188,19,6972
189,19,6976
190,19,12686
191,19,20864
192,19,20972
193,19,31489
194,19,31492
195,20,1261
196,20,3106
197,20,3107
198,20,3613
199,20,5590
200,20,6453
201,20,8545
202,20,8546
203,20,8644
204,20,8646
205,22,641
206,22,642
207,22,672
208,22,698
209,22,737
210,22,739
211,22,741
212,22,742
213,22,746
214,22,748
215,22,749
216,22,751
217,22,754
218,22,755
219,22,757
220,22,758
221,22,762
222,22,763
223,22,764
224,22,853
225,22,855
226,22,1234
227,22,2168
228,22,2356
229,22,2472
230,22,2771
231,22,3126
232,22,3399
233,22,3400
234,22,3403
235,22,3406
236,22,3411
237,22,3412
238,22,3415
239,22,3416
240,22,3428
241,22,3431
242,22,3441
243,22,3687
244,22,3689
245,22,3729
246,22,4946
247,22,4952
248,22,5810
249,22,7923
250,22,7978
251,22,8006
252,22,8261
253,22,2504
254,22,8539
