"id","medium","sort"
15,78,1
16,"78 12\"",Format""",
14,45,3
33,"45 12\"",Format""",
25,"EP 7\"",Format""",
24,"LP 7\"",Format""",
13,"LP 10\"",Format""",
12,"LP 12\"",Format""",
18,"Reel",9
19,"8-Track",10
17,"Cassette",11
20,"DAT",12
21,"Mini",13
22,"MP3",14
11,"CD",15
35,"CD 3\"",Format""",
28,"SACD",17
32,"VHS",18
31,"LaserDisc",19
29,"DVD",20
34,"Piano Roll",21
